"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"275","Leon Draisaitl","EDM","C","63","1070.1333333333","20","29","19","10","49","85.96","130","15.38","12.6","220","175","123","46","14","22","26","13","13","0","0","24","67","31","20","68","22","426","381","52.79"
"291","David Pastrnak","BOS","R","66","1008.2666666667","17","30","22","8","47","92.16","179","9.50","14.13","341","238","151","54","17","34","22","10","10","0","0","24","78","30","40","59","12","3","5","37.50"
"141","Nikita Kucherov","T.B","R","61","999.66666666667","19","27","17","10","46","73.02","134","14.18","11.74","285","199","141","54","9","26","39","14","12","1","1","18","82","18","17","36","24","0","0","-"
"245","Nathan MacKinnon","COL","C","66","1133.6","12","34","21","13","46","75.41","191","6.28","15.42","339","256","192","55","8","30","15","6","5","1","0","16","83","19","27","48","45","477","532","47.27"
"6","Sidney Crosby","PIT","C","65","1029.3666666667","11","34","20","14","45","76.27","120","9.17","13.88","240","189","119","51","8","22","23","10","9","1","0","15","54","19","47","29","30","634","514","55.23"
"451","Brandon Hagel","T.B","L","64","964.93333333333","20","23","13","10","43","84.31","134","14.93","16.14","267","195","157","81","10","28","32","15","15","0","0","16","70","14","41","92","35","4","9","30.77"
"662","Aliaksei Protas","WSH","C","65","904.16666666667","19","24","14","10","43","72.88","97","19.59","12.79","180","157","121","60","9","11","16","8","8","0","0","14","43","15","17","67","23","2","8","20.00"
"494","Jason Robertson","DAL","L","64","884.06666666667","17","25","13","12","42","85.71","109","15.60","9.95","218","152","102","37","11","18","10","5","5","0","0","14","64","15","40","56","31","6","11","35.29"
"378","Artemi Panarin","NYR","L","63","974.81666666667","16","25","11","14","41","83.67","128","12.50","11.03","279","201","132","38","19","18","12","6","6","0","0","11","64","12","14","28","8","0","0","-"
"438","Pierre-Luc Dubois","WSH","L","65","903.36666666667","12","29","20","9","41","67.21","85","14.12","12.27","180","139","125","64","9","14","44","22","22","0","0","21","39","8","46","66","48","401","410","49.45"
"624","Cole Caufield","MTL","R","64","880.93333333333","21","19","15","4","40","81.63","144","14.58","14.82","248","199","130","56","10","23","12","6","6","0","0","14","37","13","44","41","24","4","6","40.00"
"358","Zach Werenski","CBJ","D","63","1312.55","12","27","16","11","39","60.00","163","7.36","11.17","339","245","121","36","19","33","19","8","7","1","0","11","84","27","13","93","96","0","0","-"
"369","Mitch Marner","TOR","R","63","917.3","10","29","16","13","39","76.47","91","10.99","9.01","216","140","111","34","7","18","10","5","5","0","0","7","66","31","37","30","24","6","8","42.86"
"158","Rickard Rakell","PIT","R","66","1023.65","21","17","8","9","38","67.86","126","16.67","14.44","241","194","131","69","9","28","10","5","5","0","0","8","54","16","97","90","63","9","8","52.94"
"328","Kyle Connor","WPG","L","66","1026.8666666667","19","19","11","8","38","76.00","142","13.38","12.92","258","188","150","56","10","21","23","10","9","1","0","10","55","22","15","32","30","0","3","0.00"
"332","Connor McDavid","EDM","C","57","1015.7666666667","13","25","16","9","38","73.08","129","10.08","16.64","231","185","149","72","5","31","10","5","5","0","0","20","52","22","35","54","9","294","322","47.73"
